RHEA_ID	DIRECTION	MASTER_ID	ID
29828	LR	29827	R-HSA-5336454.1
29828	LR	29827	R-HSA-5336466.1
29829	RL	29827	R-HSA-426223.1
29829	RL	29827	R-HSA-442661.2
29829	RL	29827	R-HSA-5336453.1
29829	RL	29827	R-HSA-5339528.1
29829	RL	29827	R-HSA-5339538.1
29864	LR	29863	R-HSA-1008248.2
30088	LR	30087	R-HSA-880050.1
30236	LR	30235	R-HSA-70679.3
30549	RL	30547	R-HSA-77325.2
30592	LR	30591	R-HSA-141202.1
30592	LR	30591	R-HSA-5696146.1
30656	LR	30655	R-HSA-73635.3
30657	RL	30655	R-HSA-75126.3
30684	LR	30683	R-HSA-4085021.1
30721	RL	30719	R-HSA-70844.2
30732	LR	30731	R-HSA-77319.3
30736	LR	30735	R-HSA-1855211.2
30740	LR	30739	R-HSA-1855210.2
30748	LR	30747	R-HSA-77299.2
30752	LR	30751	R-HSA-201035.2
30784	LR	30783	R-HSA-6813749.1
30796	LR	30795	R-HSA-71037.2
30800	LR	30799	R-HSA-77312.2
30816	LR	30815	R-HSA-8940074.1
30848	LR	30847	R-HSA-71046.2
30944	LR	30943	R-HSA-77338.2
31040	LR	31039	R-HSA-77263.2
31064	LR	31063	R-HSA-70745.2
31077	RL	31075	R-HSA-77256.2
31089	RL	31087	R-HSA-77340.2
31093	RL	31091	R-HSA-77271.2
31100	LR	31099	R-HSA-70859.2
31105	RL	31103	R-HSA-197963.1
31113	RL	31111	R-HSA-77321.2
31121	RL	31119	R-HSA-70830.2
31144	LR	31143	R-HSA-77323.2
31152	LR	31151	R-HSA-2408543.1
31160	LR	31159	R-HSA-77303.2
31165	RL	31163	R-HSA-77301.2
31168	LR	31167	R-HSA-77283.2
31173	RL	31171	R-HSA-77277.2
31176	LR	31175	R-HSA-70870.2
